"MOI","County_Township_ZH","Indi"
63000010,"臺北市松山區",0
63000030,"臺北市大安區",0
63000060,"臺北市大同區",0
63000040,"臺北市中山區",0
63000100,"臺北市內湖區",0
63000090,"臺北市南港區",0
63000110,"臺北市士林區",0
63000120,"臺北市北投區",0
63000020,"臺北市信義區",0
63000050,"臺北市中正區",0
63000070,"臺北市萬華區",0
63000080,"臺北市文山區",0
64000010,"高雄市鹽埕區",0
64000020,"高雄市鼓山區",0
64000030,"高雄市左營區",0
64000040,"高雄市楠梓區",0
64000050,"高雄市三民區",0
64000060,"高雄市新興區",0
64000070,"高雄市前金區",0
64000080,"高雄市苓雅區",0
64000090,"高雄市前鎮區",0
64000100,"高雄市旗津區",0
64000110,"高雄市小港區",0
10017010,"基隆市中正區",0
10017020,"基隆市七堵區",0
10017030,"基隆市暖暖區",0
10017040,"基隆市仁愛區",0
10017050,"基隆市中山區",0
10017060,"基隆市安樂區",0
10017070,"基隆市信義區",0
10018010,"新竹市東區",0
10018020,"新竹市北區",0
10018030,"新竹市香山區",0
66000010,"臺中市中區",0
66000020,"臺中市東區",0
66000030,"臺中市南區",0
66000040,"臺中市西區",0
66000050,"臺中市北區",0
66000060,"臺中市西屯區",0
66000070,"臺中市南屯區",0
66000080,"臺中市北屯區",0
67000320,"臺南市東區",0
67000330,"臺南市南區",0
67000340,"臺南市北區",0
67000370,"臺南市中西區",0
67000350,"臺南市安南區",0
67000360,"臺南市安平區",0
10020010,"嘉義市東區",0
10020020,"嘉義市西區",0
65000010,"新北市板橋區",0
65000020,"新北市三重區",0
65000040,"新北市永和區",0
65000030,"新北市中和區",0
65000050,"新北市新莊區",0
65000060,"新北市新店區",0
65000070,"新北市樹林區",0
65000080,"新北市鶯歌區",0
65000090,"新北市三峽區",0
65000100,"新北市淡水區",0
65000110,"新北市汐止區",0
65000120,"新北市瑞芳區",0
65000130,"新北市土城區",0
65000140,"新北市蘆洲區",0
65000150,"新北市五股區",0
65000160,"新北市泰山區",0
65000170,"新北市林口區",0
65000180,"新北市深坑區",0
65000190,"新北市石碇區",0
65000200,"新北市坪林區",0
65000210,"新北市三芝區",0
65000220,"新北市石門區",0
65000230,"新北市八里區",0
65000240,"新北市平溪區",0
65000250,"新北市雙溪區",0
65000260,"新北市貢寮區",0
65000270,"新北市金山區",0
65000280,"新北市萬里區",0
65000290,"新北市烏來區",1
68000010,"桃園市桃園區",0
68000020,"桃園市中壢區",0
68000030,"桃園市大溪區",0
68000040,"桃園市楊梅區",0
68000050,"桃園市蘆竹區",0
68000060,"桃園市大園區",0
68000070,"桃園市龜山區",0
68000080,"桃園市八德區",0
68000090,"桃園市龍潭區",0
68000100,"桃園市平鎮區",0
68000110,"桃園市新屋區",0
68000120,"桃園市觀音區",0
68000130,"桃園市復興區",1
10004040,"新竹縣關西鎮",2
10004030,"新竹縣新埔鎮",0
10004020,"新竹縣竹東鎮",0
10004010,"新竹縣竹北市",0
10004050,"新竹縣湖口鄉",0
10004080,"新竹縣橫山鄉",0
10004060,"新竹縣新豐鄉",0
10004070,"新竹縣芎林鄉",0
10004100,"新竹縣寶山鄉",0
10004090,"新竹縣北埔鄉",0
10004110,"新竹縣峨眉鄉",0
10004120,"新竹縣尖石鄉",1
10004130,"新竹縣五峰鄉",1
10002010,"宜蘭縣宜蘭市",0
10002020,"宜蘭縣羅東鎮",0
10002030,"宜蘭縣蘇澳鎮",0
10002040,"宜蘭縣頭城鎮",0
10002050,"宜蘭縣礁溪鄉",0
10002060,"宜蘭縣壯圍鄉",0
10002070,"宜蘭縣員山鄉",0
10002080,"宜蘭縣冬山鄉",0
10002090,"宜蘭縣五結鄉",0
10002100,"宜蘭縣三星鄉",0
10002110,"宜蘭縣大同鄉",1
10002120,"宜蘭縣南澳鄉",1
10005010,"苗栗縣苗栗市",0
10005020,"苗栗縣苑裡鎮",0
10005030,"苗栗縣通霄鎮",0
10005040,"苗栗縣竹南鎮",0
10005050,"苗栗縣頭份市",0
10005060,"苗栗縣後龍鎮",0
10005070,"苗栗縣卓蘭鎮",0
10005080,"苗栗縣大湖鄉",0
10005090,"苗栗縣公館鄉",0
10005100,"苗栗縣銅鑼鄉",0
10005110,"苗栗縣南庄鄉",2
10005120,"苗栗縣頭屋鄉",0
10005130,"苗栗縣三義鄉",0
10005140,"苗栗縣西湖鄉",0
10005150,"苗栗縣造橋鄉",0
10005160,"苗栗縣三灣鄉",0
10005170,"苗栗縣獅潭鄉",2
10005180,"苗栗縣泰安鄉",1
66000090,"臺中市豐原區",0
66000100,"臺中市東勢區",0
66000110,"臺中市大甲區",0
66000120,"臺中市清水區",0
66000130,"臺中市沙鹿區",0
66000140,"臺中市梧棲區",0
66000150,"臺中市后里區",0
66000160,"臺中市神岡區",0
66000170,"臺中市潭子區",0
66000180,"臺中市大雅區",0
66000190,"臺中市新社區",0
66000200,"臺中市石岡區",0
66000210,"臺中市外埔區",0
66000220,"臺中市大安區",0
66000230,"臺中市烏日區",0
66000240,"臺中市大肚區",0
66000250,"臺中市龍井區",0
66000260,"臺中市霧峰區",0
66000270,"臺中市太平區",0
66000280,"臺中市大里區",0
66000290,"臺中市和平區",1
10007010,"彰化縣彰化市",0
10007020,"彰化縣鹿港鎮",0
10007030,"彰化縣和美鎮",0
10007190,"彰化縣北斗鎮",0
10007100,"彰化縣員林市",0
10007110,"彰化縣溪湖鎮",0
10007120,"彰化縣田中鎮",0
10007200,"彰化縣二林鎮",0
10007040,"彰化縣線西鄉",0
10007050,"彰化縣伸港鄉",0
10007060,"彰化縣福興鄉",0
10007070,"彰化縣秀水鄉",0
10007080,"彰化縣花壇鄉",0
10007090,"彰化縣芬園鄉",0
10007130,"彰化縣大村鄉",0
10007140,"彰化縣埔鹽鄉",0
10007150,"彰化縣埔心鄉",0
10007160,"彰化縣永靖鄉",0
10007170,"彰化縣社頭鄉",0
10007180,"彰化縣二水鄉",0
10007210,"彰化縣田尾鄉",0
10007220,"彰化縣埤頭鄉",0
10007230,"彰化縣芳苑鄉",0
10007240,"彰化縣大城鄉",0
10007250,"彰化縣竹塘鄉",0
10007260,"彰化縣溪州鄉",0
10008010,"南投縣南投市",0
10008020,"南投縣埔里鎮",0
10008030,"南投縣草屯鎮",0
10008040,"南投縣竹山鎮",0
10008050,"南投縣集集鎮",0
10008060,"南投縣名間鄉",0
10008070,"南投縣鹿谷鄉",0
10008080,"南投縣中寮鄉",0
10008090,"南投縣魚池鄉",2
10008100,"南投縣國姓鄉",0
10008110,"南投縣水里鄉",0
10008120,"南投縣信義鄉",1
10008130,"南投縣仁愛鄉",1
10009010,"雲林縣斗六市",0
10009020,"雲林縣斗南鎮",0
10009030,"雲林縣虎尾鎮",0
10009040,"雲林縣西螺鎮",0
10009050,"雲林縣土庫鎮",0
10009060,"雲林縣北港鎮",0
10009070,"雲林縣古坑鄉",0
10009080,"雲林縣大埤鄉",0
10009090,"雲林縣莿桐鄉",0
10009100,"雲林縣林內鄉",0
10009110,"雲林縣二崙鄉",0
10009120,"雲林縣崙背鄉",0
10009130,"雲林縣麥寮鄉",0
10009140,"雲林縣東勢鄉",0
10009150,"雲林縣褒忠鄉",0
10009160,"雲林縣臺西鄉",0
10009170,"雲林縣元長鄉",0
10009180,"雲林縣四湖鄉",0
10009190,"雲林縣口湖鄉",0
10009200,"雲林縣水林鄉",0
10010020,"嘉義縣朴子市",0
10010030,"嘉義縣布袋鎮",0
10010040,"嘉義縣大林鎮",0
10010050,"嘉義縣民雄鄉",0
10010060,"嘉義縣溪口鄉",0
10010070,"嘉義縣新港鄉",0
10010080,"嘉義縣六腳鄉",0
10010090,"嘉義縣東石鄉",0
10010100,"嘉義縣義竹鄉",0
10010110,"嘉義縣鹿草鄉",0
10010010,"嘉義縣太保市",0
10010120,"嘉義縣水上鄉",0
10010130,"嘉義縣中埔鄉",0
10010140,"嘉義縣竹崎鄉",0
10010150,"嘉義縣梅山鄉",0
10010160,"嘉義縣番路鄉",0
10010170,"嘉義縣大埔鄉",0
10010180,"嘉義縣阿里山鄉",1
67000010,"臺南市新營區",0
67000020,"臺南市鹽水區",0
67000030,"臺南市白河區",0
67000070,"臺南市麻豆區",0
67000120,"臺南市佳里區",0
67000180,"臺南市新化區",0
67000190,"臺南市善化區",0
67000130,"臺南市學甲區",0
67000040,"臺南市柳營區",0
67000050,"臺南市後壁區",0
67000060,"臺南市東山區",0
67000080,"臺南市下營區",0
67000090,"臺南市六甲區",0
67000100,"臺南市官田區",0
67000110,"臺南市大內區",0
67000140,"臺南市西港區",0
67000150,"臺南市七股區",0
67000160,"臺南市將軍區",0
67000170,"臺南市北門區",0
67000200,"臺南市新市區",0
67000210,"臺南市安定區",0
67000220,"臺南市山上區",0
67000230,"臺南市玉井區",0
67000240,"臺南市楠西區",0
67000250,"臺南市南化區",0
67000260,"臺南市左鎮區",0
67000270,"臺南市仁德區",0
67000280,"臺南市歸仁區",0
67000290,"臺南市關廟區",0
67000300,"臺南市龍崎區",0
67000310,"臺南市永康區",0
64000120,"高雄市鳳山區",0
64000190,"高雄市岡山區",0
64000300,"高雄市旗山區",0
64000310,"高雄市美濃區",0
64000130,"高雄市林園區",0
64000140,"高雄市大寮區",0
64000150,"高雄市大樹區",0
64000170,"高雄市仁武區",0
64000160,"高雄市大社區",0
64000180,"高雄市鳥松區",0
64000200,"高雄市橋頭區",0
64000210,"高雄市燕巢區",0
64000220,"高雄市田寮區",0
64000230,"高雄市阿蓮區",0
64000240,"高雄市路竹區",0
64000250,"高雄市湖內區",0
64000260,"高雄市茄萣區",0
64000270,"高雄市永安區",0
64000280,"高雄市彌陀區",0
64000290,"高雄市梓官區",0
64000320,"高雄市六龜區",0
64000330,"高雄市甲仙區",0
64000340,"高雄市杉林區",0
64000350,"高雄市內門區",0
64000360,"高雄市茂林區",1
64000370,"高雄市桃源區",1
64000380,"高雄市那瑪夏區",1
10013010,"屏東縣屏東市",0
10013020,"屏東縣潮州鎮",0
10013030,"屏東縣東港鎮",0
10013040,"屏東縣恆春鎮",0
10013050,"屏東縣萬丹鄉",0
10013060,"屏東縣長治鄉",0
10013070,"屏東縣麟洛鄉",0
10013080,"屏東縣九如鄉",0
10013090,"屏東縣里港鄉",0
10013100,"屏東縣鹽埔鄉",0
10013110,"屏東縣高樹鄉",0
10013120,"屏東縣萬巒鄉",0
10013130,"屏東縣內埔鄉",0
10013140,"屏東縣竹田鄉",0
10013150,"屏東縣新埤鄉",0
10013160,"屏東縣枋寮鄉",0
10013170,"屏東縣新園鄉",0
10013180,"屏東縣崁頂鄉",0
10013190,"屏東縣林邊鄉",0
10013200,"屏東縣南州鄉",0
10013210,"屏東縣佳冬鄉",0
10013220,"屏東縣琉球鄉",0
10013230,"屏東縣車城鄉",0
10013240,"屏東縣滿州鄉",2
10013250,"屏東縣枋山鄉",0
